region,sex,foreign/Swedish background,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
18 Örebro county,girls,foreign born,1675,1669,1619,1580,1643,1681,1804,1848,1831,1835,1961,2183,2345,2587,2891,3122,3273,3295,3099
18 Örebro county,girls,born in Sweden with two foreign born parents,2180,2261,2359,2486,2644,2781,2914,3037,3152,3257,3348,3470,3609,3741,3950,4165,4471,4760,4963
18 Örebro county,girls,born in Sweden with one parent born in Sweden and one foreign born parent,2554,2548,2531,2516,2510,2534,2503,2487,2540,2624,2644,2698,2756,2843,2931,3017,3089,3168,3243
18 Örebro county,girls,born in Sweden with two parents born in Sweden,22414,22316,22051,21730,21330,20969,20634,20255,19961,19821,19597,19535,19547,19613,19560,19712,19838,19864,19895
19 Västmanland county,boys,foreign born,1630,1667,1602,1553,1572,1635,1727,1815,1853,1927,2044,2464,2654,2955,3289,3572,3718,3595,3530
19 Västmanland county,boys,born in Sweden with two foreign born parents,2200,2225,2301,2412,2475,2542,2634,2738,2839,2945,3106,3318,3554,3803,4083,4412,4747,5110,5461
19 Västmanland county,boys,born in Sweden with one parent born in Sweden and one foreign born parent,3480,3466,3418,3411,3208,3177,3093,3055,3057,3017,3020,3028,3100,3188,3225,3281,3330,3301,3310
19 Västmanland county,boys,born in Sweden with two parents born in Sweden,21522,21516,21293,21085,19433,19097,18640,18345,18050,17874,17691,17523,17581,17675,17719,17808,17854,17846,17853
19 Västmanland county,girls,foreign born,1548,1576,1584,1544,1546,1643,1720,1868,1849,1844,1941,2328,2513,2646,2913,3099,3273,3255,3161
19 Västmanland county,girls,born in Sweden with two foreign born parents,2138,2196,2252,2321,2360,2431,2534,2621,2745,2862,3016,3206,3464,3684,3950,4254,4625,4973,5300
19 Västmanland county,girls,born in Sweden with one parent born in Sweden and one foreign born parent,3319,3337,3267,3201,3014,2947,2865,2880,2882,2841,2824,2833,2829,2886,2893,2993,3064,3057,3081
19 Västmanland county,girls,born in Sweden with two parents born in Sweden,20659,20587,20487,20204,18635,18364,17968,17568,17233,16928,16727,16591,16548,16605,16704,16792,16741,16750,16660
20 Dalarna county,boys,foreign born,931,964,989,991,1139,1304,1510,1671,1746,1766,1893,2236,2470,2753,3236,3313,3325,3262,3048
20 Dalarna county,boys,born in Sweden with two foreign born parents,871,898,943,981,1020,1047,1116,1184,1291,1363,1493,1608,1776,1989,2272,2543,2783,3042,3220
20 Dalarna county,boys,born in Sweden with one parent born in Sweden and one foreign born parent,2396,2371,2338,2317,2281,2263,2250,2244,2224,2269,2263,2292,2329,2391,2447,2545,2589,2613,2617
20 Dalarna county,boys,born in Sweden with two parents born in Sweden,26506,26040,25680,25263,24666,24096,23412,22711,22085,21655,21384,21079,20973,21034,21081,21072,21103,21073,21012
20 Dalarna county,girls,foreign born,931,964,993,1004,1101,1207,1370,1517,1565,1531,1662,1958,2231,2484,2852,3019,3025,3053,2837
20 Dalarna county,girls,born in Sweden with two foreign born parents,774,810,838,881,951,1000,1032,1138,1215,1335,1426,1584,1718,1908,2177,2449,2704,2940,3098
20 Dalarna county,girls,born in Sweden with one parent born in Sweden and one foreign born parent,2359,2369,2339,2351,2280,2265,2231,2220,2190,2187,2151,2145,2155,2206,2254,2288,2369,2374,2373
20 Dalarna county,girls,born in Sweden with two parents born in Sweden,24842,24536,24147,23772,23267,22707,22086,21499,20996,20598,20299,20045,20015,20043,20132,20185,20189,20245,20269
21 Gävleborg county,boys,foreign born,1113,1156,1167,1180,1314,1429,1593,1787,1854,1925,2062,2433,2771,3043,3353,3412,3334,3328,3152
21 Gävleborg county,boys,born in Sweden with two foreign born parents,991,1015,1013,1040,1114,1177,1232,1330,1412,1501,1608,1762,1962,2140,2391,2690,2961,3289,3557
21 Gävleborg county,boys,born in Sweden with one parent born in Sweden and one foreign born parent,2093,2147,2148,2164,2146,2170,2161,2159,2178,2189,2258,2317,2364,2403,2438,2528,2576,2566,2553
21 Gävleborg county,boys,born in Sweden with two parents born in Sweden,25493,25276,24888,24565,23939,23392,22789,22128,21580,21118,20816,20586,20394,20455,20511,20498,20474,20394,20267
21 Gävleborg county,girls,foreign born,969,998,1022,1075,1190,1307,1504,1685,1748,1756,1865,2235,2557,2773,3002,3088,3070,3112,2946
21 Gävleborg county,girls,born in Sweden with two foreign born parents,921,941,987,1034,1086,1131,1212,1310,1383,1435,1551,1658,1889,2088,2306,2576,2846,3142,3427
21 Gävleborg county,girls,born in Sweden with one parent born in Sweden and one foreign born parent,1976,2018,2011,2042,2057,2060,2065,2076,2095,2112,2140,2183,2224,2255,2320,2341,2383,2395,2430
21 Gävleborg county,girls,born in Sweden with two parents born in Sweden,24126,23920,23633,23206,22743,22210,21546,20902,20410,19945,19657,19471,19342,19354,19356,19394,19454,19409,19212
22 Västernorrland county,boys,foreign born,829,885,913,930,1038,1139,1246,1348,1344,1391,1446,1625,1752,1899,2154,2339,2259,2229,2102
22 Västernorrland county,boys,born in Sweden with two foreign born parents,574,615,649,651,698,749,802,837,878,972,1058,1136,1233,1353,1512,1709,1877,2041,2201
22 Västernorrland county,boys,born in Sweden with one parent born in Sweden and one foreign born parent,1713,1702,1741,1770,1780,1751,1760,1780,1828,1865,1860,1875,1945,2012,2059,2116,2174,2228,2248
22 Västernorrland county,boys,born in Sweden with two parents born in Sweden,22644,22451,22293,22050,21779,21301,20883,20370,19918,19615,19336,19095,19027,18986,19016,19000,18958,18802,18622
22 Västernorrland county,girls,foreign born,779,830,904,934,1022,1047,1100,1207,1172,1201,1256,1433,1529,1749,1957,2106,2063,2038,1860
22 Västernorrland county,girls,born in Sweden with two foreign born parents,536,578,618,631,678,712,766,839,858,894,959,1044,1124,1252,1437,1627,1779,1967,2078
22 Västernorrland county,girls,born in Sweden with one parent born in Sweden and one foreign born parent,1658,1639,1681,1669,1641,1670,1658,1635,1654,1674,1689,1730,1799,1873,1941,1963,1998,2017,2035
22 Västernorrland county,girls,born in Sweden with two parents born in Sweden,21394,21310,21207,20972,20698,20344,20015,19579,19277,18984,18708,18442,18340,18296,18293,18199,18103,18089,17894
23 Jämtland county,boys,foreign born,376,378,383,377,442,514,568,578,625,714,778,944,965,1030,1199,1327,1243,1177,1139
23 Jämtland county,boys,born in Sweden with two foreign born parents,130,140,144,146,159,173,182,213,232,257,273,306,348,408,492,589,677,766,834
23 Jämtland county,boys,born in Sweden with one parent born in Sweden and one foreign born parent,907,899,898,882,878,875,884,877,885,891,922,952,996,1025,1059,1100,1143,1160,1180
23 Jämtland county,boys,born in Sweden with two parents born in Sweden,12420,12234,11963,11776,11564,11320,11080,10832,10638,10430,10223,10098,10072,10160,10207,10352,10435,10509,10561
23 Jämtland county,girls,foreign born,319,335,366,377,476,495,531,540,590,623,667,808,838,904,1062,1125,1087,1067,1051
23 Jämtland county,girls,born in Sweden with two foreign born parents,125,141,156,169,188,203,210,227,242,257,282,306,350,408,475,545,619,702,754
23 Jämtland county,girls,born in Sweden with one parent born in Sweden and one foreign born parent,846,850,882,888,917,941,929,931,919,922,916,914,933,949,973,996,1020,1056,1067
23 Jämtland county,girls,born in Sweden with two parents born in Sweden,11754,11648,11481,11284,11083,10917,10621,10317,10187,9986,9886,9743,9712,9751,9813,9892,10023,10015,10000
24 Västerbotten county,boys,foreign born,1017,1014,1032,982,1006,1120,1153,1231,1319,1413,1517,1592,1702,1758,1982,2194,2164,2132,2052
24 Västerbotten county,boys,born in Sweden with two foreign born parents,718,744,766,784,818,853,898,929,948,977,1056,1129,1197,1284,1387,1528,1660,1796,1926
24 Västerbotten county,boys,born in Sweden with one parent born in Sweden and one foreign born parent,1894,1947,1961,2010,2029,2036,2084,2079,2135,2163,2230,2282,2345,2437,2554,2625,2674,2734,2786
24 Västerbotten county,boys,born in Sweden with two parents born in Sweden,24825,24525,24186,23899,23473,22962,22541,21994,21525,21186,20893,20797,20818,20846,21008,21184,21312,21387,21480
24 Västerbotten county,girls,foreign born,981,1014,994,957,981,1053,1138,1190,1244,1286,1365,1443,1519,1626,1783,1971,2002,1977,1876
24 Västerbotten county,girls,born in Sweden with two foreign born parents,711,731,748,763,800,806,840,868,922,937,992,1029,1104,1164,1281,1412,1530,1630,1730
24 Västerbotten county,girls,born in Sweden with one parent born in Sweden and one foreign born parent,1740,1769,1808,1826,1880,1958,1979,2030,2061,2137,2177,2215,2265,2303,2410,2466,2525,2575,2627
24 Västerbotten county,girls,born in Sweden with two parents born in Sweden,23577,23250,22916,22607,22237,21776,21294,20816,20422,20133,19883,19807,19692,19748,19979,20096,20100,20164,20235
25 Norrbotten county,boys,foreign born,844,872,894,923,987,1060,1148,1208,1307,1376,1432,1541,1620,1650,1824,2030,1895,1851,1780
25 Norrbotten county,boys,born in Sweden with two foreign born parents,798,772,744,725,738,719,693,697,709,717,736,779,843,901,984,1048,1090,1193,1277
25 Norrbotten county,boys,born in Sweden with one parent born in Sweden and one foreign born parent,2844,2860,2854,2829,2832,2826,2717,2690,2656,2618,2588,2613,2633,2639,2627,2650,2664,2660,2639
25 Norrbotten county,boys,born in Sweden with two parents born in Sweden,23144,22695,22383,21955,21599,21016,20445,19855,19323,19011,18676,18585,18442,18425,18419,18373,18207,18198,18117
25 Norrbotten county,girls,foreign born,846,871,935,966,1003,1037,1065,1039,1101,1181,1252,1315,1364,1413,1556,1708,1675,1664,1591
25 Norrbotten county,girls,born in Sweden with two foreign born parents,745,748,741,718,719,700,662,643,652,660,648,675,707,767,872,950,1010,1098,1148
